delta_net_http,after_net_http,delta_subprocess_exec,after_subprocess_exec,delta_env_cred_access,after_env_cred_access,delta_filesystem,after_filesystem,delta_encoded_blob,after_encoded_blob,delta_install_hook,after_install_hook,delta_obfuscation,after_obfuscation,delta_loc,delta_char,entropy_before,entropy_after,delta_entropy,delta_longest_token,ast_nodes_after,package,ecosystem,version_after_date,label
0,0,0,0,0,1,0,0,0,0,0,0,0,0,747,25669,5.125,5.114,-0.011,0,-1,sklern,pypi,2026-05-22T07:42:22.691223Z,1
0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,32,5.166,5.16,-0.006,0,348,sklern,pypi,2026-05-25T18:55:35.294333Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,761,26097,5.013,5.125,0.112,8,-1,sklern,pypi,2026-05-22T07:37:33.876357Z,1
0,0,0,0,0,3,0,0,0,0,0,0,0,0,41,690,5.16,5.162,0.002,0,-1,sklern,pypi,2026-05-25T18:58:38.898146Z,1
0,0,0,0,2,3,0,0,0,0,0,0,0,0,-268,5979,5.107,5.166,0.059,0,-1,sklern,pypi,2026-05-25T18:50:55.324469Z,1
-2,1,0,0,-1,0,0,0,2,3,0,0,11,11,3,1546,5.05,5.202,0.152,266,-1,@ceeferenderer/fe-renderer-sdk,npm,2026-03-14T19:08:29.916Z,1
-2,1,0,0,-1,0,0,0,2,3,0,0,11,11,3,1545,5.05,5.202,0.152,266,-1,@ceeferenderer/itg-renderer-sdk,npm,2026-03-14T19:08:37.964Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.881,4.886,0.005,0,-1,@thone33/core-utils,npm,2026-06-28T17:29:52.646Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.883,4.881,-0.002,0,-1,@thone33/core-utils,npm,2026-06-28T17:27:48.263Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,4.878,4.878,0.0,0,-1,@thone33/core-utils,npm,2026-06-28T17:15:17.472Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.886,4.886,0.0,0,-1,@thone33/core-utils,npm,2026-06-28T17:42:11.442Z,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.878,4.883,0.005,0,-1,@thone33/core-utils,npm,2026-06-28T17:19:35.511Z,1
0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4.718,4.718,0.0,0,-1,@thone33/analytics-injector,npm,2026-06-28T17:14:53.301Z,1
0,0,0,0,0,8,0,0,0,0,0,1,0,0,-3,-2,5.26,5.281,0.021,8,-1,glass-of-water,pypi,2026-05-18T17:05:27.457120Z,1
0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,-4,5.26,5.257,-0.003,0,-1,glass-of-water,pypi,2026-05-18T17:16:28.215853Z,1
0,32,0,0,0,4,0,0,0,8,0,0,0,0,3,112,4.687,4.712,0.025,0,-1,echarts-for-react,npm,2026-05-19T01:47:12.979Z,1
0,3,0,6,0,1,0,0,0,2,0,0,0,0,0,28,5.072,5.072,0.0,0,-1,path-internal,npm,2026-04-14T09:28:48.932Z,1
0,3,0,6,0,1,0,0,0,2,0,0,0,0,0,0,5.072,5.072,0.0,0,-1,path-internal,npm,2026-04-17T19:24:19.647Z,1
0,3,0,6,0,1,0,0,0,2,0,0,0,0,0,0,5.072,5.072,0.0,0,-1,path-internal,npm,2026-05-01T06:31:01.947Z,1
0,3,0,6,0,1,0,0,0,2,0,0,0,0,0,0,5.072,5.073,0.001,0,-1,path-internal,npm,2026-05-25T16:05:30.375Z,1
0,3,0,6,0,1,0,0,0,2,0,0,0,0,0,0,5.072,5.072,0.0,0,-1,path-internal,npm,2026-05-25T15:27:27.276Z,1
0,3,0,6,0,1,0,0,0,2,0,0,0,0,0,0,5.073,5.073,0.0,0,-1,path-internal,npm,2026-06-08T18:38:43.104Z,1
0,5,0,36,0,27,0,0,0,14,0,0,0,0,1471,55985,5.119,5.119,0.0,0,-1,@shwfed/nuxt,npm,2026-05-25T05:17:13.327Z,1
-389,5,-88,36,-80,27,-176,0,-244,14,0,0,-3,0,-299254,-13245457,5.071,5.119,0.048,-8102,-1,@shwfed/nuxt,npm,2026-05-22T03:04:42.901Z,1
0,5,0,36,0,27,0,0,0,14,0,0,0,0,5,261,5.119,5.119,0.0,0,-1,@shwfed/nuxt,npm,2026-06-04T01:42:19.145Z,1
0,1324,0,30,0,10,0,0,0,93,0,0,0,0,0,0,4.98,4.98,0.0,0,-1,@qwedqwed/axios,npm,2026-06-16T05:35:12.613Z,1
0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,80,5.081,5.08,-0.001,0,-1,fakehuop,pypi,2026-05-21T21:53:26.716080Z,1
0,0,0,0,0,15,0,0,0,0,0,0,0,0,-1,-5,5.08,5.08,0.0,0,-1,fakehuop,pypi,2026-05-21T22:29:59.509241Z,1
0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,-4,5.08,5.08,0.0,0,-1,fakehuop,pypi,2026-05-21T22:39:42.695336Z,1
0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5.08,5.08,0.0,0,-1,fakehuop,pypi,2026-05-21T22:30:01.130997Z,1
0,5,0,1,0,5,0,3,0,1,0,0,0,0,0,-36,5.176,5.165,-0.011,-36,-1,eslint-helper,npm,2026-06-18T20:00:00.738Z,1
0,16,0,1,0,41,0,1,0,1,0,0,0,0,0,0,5.17,5.17,0.0,0,-1,@weirdorg/dotenv,npm,2026-05-18T18:31:09.389Z,1
0,15,0,0,2,19,0,0,0,2,0,0,14766,16613,0,394212,5.558,5.635,0.077,101187,-1,@weirdorg/config,npm,2026-05-18T18:30:08.971Z,1
0,36,0,64,0,0,0,9,0,9,0,1,0,1,0,-8,4.928,4.929,0.001,0,-1,crazehub,pypi,2021-03-23T14:32:21.859435Z,1
0,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,5.043,5.037,-0.006,0,-1,testzapier,npm,2026-06-04T17:18:20.002Z,1
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-499,5.848,5.854,0.006,88,-1,subsearch,npm,2026-06-09T14:56:41.405Z,1
0,3,0,3,2,10,0,7,0,0,0,1,0,0,26,967,5.54,5.538,-0.002,0,-1,@jaggle/resizeobserves,npm,2026-05-24T20:02:30.629Z,1
0,3,0,3,2,8,0,7,0,0,0,1,0,0,7,582,5.553,5.54,-0.013,0,-1,@jaggle/resizeobserves,npm,2026-05-24T19:48:58.045Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,-8,-537,5.538,5.54,0.002,0,-1,@jaggle/resizeobserves,npm,2026-05-25T13:17:14.600Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,0,0,5.539,5.539,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-25T12:20:37.357Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,0,0,5.539,5.539,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-25T11:34:27.033Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,0,0,5.538,5.538,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-25T13:00:13.732Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,0,0,5.538,5.538,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-25T12:49:57.283Z,1
0,3,0,3,1,11,2,9,0,0,0,1,0,0,9,446,5.54,5.538,-0.002,0,-1,@jaggle/resizeobserves,npm,2026-05-25T13:22:56.701Z,1
0,1,0,3,2,3,0,4,0,0,0,1,0,0,9,345,5.664,5.661,-0.003,0,-1,@jaggle/resizeobserves,npm,2026-05-21T20:09:24.426Z,1
0,1,0,3,0,2,0,5,0,0,0,1,0,0,2,72,5.639,5.64,0.001,0,-1,@jaggle/resizeobserves,npm,2026-05-21T20:41:52.900Z,1
2,3,0,3,4,6,2,7,0,0,0,1,0,0,101,3776,5.633,5.553,-0.08,0,-1,@jaggle/resizeobserves,npm,2026-05-24T19:12:42.509Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,-13,-714,5.538,5.539,0.001,0,-1,@jaggle/resizeobserves,npm,2026-05-25T10:41:56.613Z,1
0,1,0,3,0,2,0,5,0,0,0,1,0,0,0,2,5.633,5.633,0.0,0,-1,@jaggle/resizeobserves,npm,2026-05-21T20:46:15.516Z,1
0,1,0,3,-1,2,1,5,0,0,0,1,0,0,18,453,5.661,5.639,-0.022,0,-1,@jaggle/resizeobserves,npm,2026-05-21T20:13:48.682Z,1
0,3,0,3,0,10,0,7,0,0,0,1,0,0,12,875,5.539,5.538,-0.001,0,-1,@jaggle/resizeobserves,npm,2026-05-25T12:29:29.732Z,1
